crime_id,crime_type,date_time,latitude,longitude,location,day_of_week,time_of_day,season,weather,past_crime_rate,police_stations_nearby,prediction_label,hour,dbscan_cluster
33,Homicide,2022-03-07 10:25:00,28.52602063719411,77.28220829388988,Suburb B,Monday,Morning,Winter,Clear,0.6629895218844061,5,0,10,-1
34,Vandalism,2023-07-03 02:13:00,28.879554214901333,77.30029159849357,Downtown,Monday,Night,Summer,Foggy,0.7814907522576329,1,1,2,-1
35,Robbery,2023-10-07 06:41:00,28.886252813229824,77.08312766517486,Suburb B,Saturday,Morning,Fall,Cloudy,0.5935893044942451,3,0,6,-1
36,Robbery,2024-10-19 12:56:00,28.82335893924658,77.18986870241082,Train Station,Saturday,Afternoon,Spring,Rainy,0.9003118282064078,2,1,12,-1
37,Drug Offense,2024-07-28 04:16:00,28.62184550766935,77.30859711355848,Commercial Hub,Sunday,Night,Summer,Snowy,0.986078254767375,5,1,4,-1
38,Fraud,2022-10-13 07:47:00,28.53906884560256,77.4849094323169,Industrial Zone,Thursday,Morning,Spring,Foggy,0.607379699981236,1,0,7,-1
39,Fraud,2023-06-23 23:37:00,28.77369321060486,77.36381556884984,Park,Friday,Evening,Summer,Snowy,0.593455982395288,2,0,23,14
40,Drug Offense,2024-05-27 18:25:00,28.67606099749584,77.46130187854698,Park,Monday,Evening,Summer,Foggy,0.7274675358987224,4,0,18,-1
41,Burglary,2024-01-12 07:08:00,28.54881529393791,77.3811060291571,Downtown,Friday,Morning,Spring,Rainy,0.873882638570016,3,1,7,-1
42,Theft,2024-11-09 15:05:00,28.69807076404451,77.2958584844462,Mall,Saturday,Afternoon,Spring,Snowy,0.6408003051176256,3,0,15,-1
43,Assault,2022-04-07 03:09:00,28.513755408446087,77.09601168456817,Mall,Thursday,Night,Fall,Rainy,0.5099399543486403,5,0,3,0
44,Fraud,2022-11-24 21:27:00,28.86372816083151,77.33334282594626,Suburb A,Thursday,Evening,Summer,Snowy,0.770610314016447,1,1,21,-1
45,Drug Offense,2022-05-11 12:24:00,28.603511992640005,77.31168978297995,Suburb A,Wednesday,Afternoon,Summer,Foggy,0.978300283883654,4,1,12,-1
46,Fraud,2024-08-16 16:16:00,28.7650089137416,77.30123458522863,Park,Friday,Afternoon,Summer,Rainy,0.6956384277034728,5,0,16,-1
47,Burglary,2022-01-24 21:46:00,28.624684430435764,77.24489293399412,University Area,Monday,Evening,Fall,Foggy,0.7100672770915502,5,0,21,-1
48,Homicide,2022-08-23 21:56:00,28.708027208471123,77.26432830199464,Suburb B,Tuesday,Evening,Spring,Foggy,0.984450858557019,1,1,21,-1
49,Homicide,2023-07-01 20:21:00,28.71868411173731,77.16722126355906,Suburb A,Saturday,Evening,Summer,Snowy,0.8473038058133642,4,1,20,-1
50,Robbery,2022-08-17 09:27:00,28.57394178221021,77.25965634632115,Commercial Hub,Wednesday,Morning,Spring,Snowy,0.8595859614210626,1,1,9,-1
51,Assault,2022-11-20 14:00:00,28.88783385110582,77.09877795283924,Park,Sunday,Afternoon,Fall,Rainy,0.7813510026855338,3,1,14,-1
52,Robbery,2023-06-24 16:48:00,28.81005312934445,77.4025871986802,University Area,Saturday,Afternoon,Winter,Cloudy,0.9873046054316208,2,1,16,-1
53,Homicide,2023-01-01 16:58:00,28.87579957662568,77.09288847734935,Suburb B,Sunday,Afternoon,Spring,Clear,0.844433242212778,3,1,16,-1
54,Homicide,2022-08-06 20:19:00,28.85793094017106,77.04248314494474,Mall,Saturday,Evening,Fall,Snowy,0.9475163758025849,3,1,20,-1
55,Burglary,2024-11-05 19:12:00,28.739159991524435,77.21812301317858,Park,Tuesday,Evening,Winter,Foggy,0.8496894328666106,5,1,19,-1
56,Robbery,2022-11-10 11:48:00,28.86874969400925,77.32915371975304,University Area,Thursday,Morning,Summer,Clear,0.867557912420198,3,1,11,-1
57,Theft,2022-11-27 17:49:00,28.53539700082077,77.21885841246677,Downtown,Sunday,Afternoon,Summer,Rainy,0.6452054610711233,4,0,17,-1
58,Burglary,2024-12-22 00:38:00,28.57839314496766,77.13837706597566,Suburb A,Sunday,Night,Spring,Clear,0.6517393490069094,3,0,0,-1
59,Assault,2023-10-26 15:01:00,28.51809091556421,77.27908559194522,Industrial Zone,Thursday,Afternoon,Winter,Clear,0.8914923247880147,4,1,15,-1
60,Homicide,2022-08-18 11:56:00,28.630132132305302,77.1735011677061,Suburb A,Thursday,Morning,Fall,Cloudy,0.6483531445849497,1,0,11,-1
61,Robbery,2023-09-22 07:03:00,28.655470915875792,77.46643384506332,Suburb B,Friday,Morning,Summer,Cloudy,0.7813850354007659,5,1,7,-1
62,Assault,2023-05-09 18:05:00,28.60853961270956,77.46132256980178,Park,Tuesday,Evening,Summer,Clear,0.624676155453351,4,0,18,-1
63,Fraud,2022-06-25 23:31:00,28.83149500366077,77.25118590998605,Mall,Saturday,Evening,Winter,Cloudy,0.9084916904045348,3,1,23,-1
64,Theft,2022-05-22 17:49:00,28.64270133067744,77.16394199700913,University Area,Sunday,Afternoon,Fall,Cloudy,0.555250675613845,5,0,17,-1
65,Vandalism,2022-09-15 04:42:00,28.612373803874952,77.36856620697831,Industrial Zone,Thursday,Night,Summer,Clear,0.9147233198808322,5,1,4,-1
66,Fraud,2024-08-31 17:10:00,28.7170784332633,77.01835647174153,Suburb A,Saturday,Afternoon,Summer,Snowy,0.8013649002538009,4,1,17,-1
67,Homicide,2023-06-27 16:55:00,28.556369689989904,77.23738450302183,Train Station,Tuesday,Afternoon,Spring,Cloudy,0.5934547674135386,4,0,16,-1
68,Drug Offense,2024-05-16 06:59:00,28.820878792301613,77.16816169713516,Train Station,Thursday,Morning,Fall,Clear,0.7710176927530591,2,1,6,-1
69,Burglary,2023-02-16 22:19:00,28.529820257471908,77.46026794255128,Mall,Thursday,Evening,Summer,Snowy,0.6412494184236702,2,0,22,-1
70,Robbery,2024-03-28 21:41:00,28.894754774640205,77.00600151363633,Commercial Hub,Thursday,Evening,Winter,Cloudy,0.6617336673652483,5,0,21,-1
71,Robbery,2024-02-04 14:57:00,28.808897907718663,77.27640743785918,Industrial Zone,Sunday,Afternoon,Summer,Clear,0.6757640207984401,2,0,14,-1
72,Burglary,2024-11-25 14:07:00,28.579486272613668,77.37033179053331,University Area,Monday,Afternoon,Fall,Cloudy,0.5316596234861605,3,0,14,-1
73,Assault,2023-05-23 07:04:00,28.50220884684944,77.24250899376202,Suburb A,Tuesday,Morning,Spring,Snowy,0.9929808422007088,1,1,7,-1
74,Drug Offense,2023-11-24 00:37:00,28.826184571381933,77.04270151508136,Suburb A,Friday,Night,Summer,Clear,0.515767314065612,5,0,0,-1
75,Assault,2023-04-17 18:14:00,28.782742937539044,77.48623069501394,Mall,Monday,Evening,Winter,Snowy,0.8312484365921392,1,1,18,-1
76,Drug Offense,2022-01-15 02:45:00,28.7916028672164,77.25900521568805,Train Station,Saturday,Night,Summer,Foggy,0.6856138238787153,2,0,2,-1
77,Assault,2022-05-01 07:04:00,28.808508138674377,77.3070931221595,Train Station,Sunday,Morning,Winter,Rainy,0.8230051454733495,4,1,7,-1
78,Vandalism,2022-03-06 10:04:00,28.52961786069364,77.11830489135376,Commercial Hub,Sunday,Morning,Fall,Foggy,0.6781241265437918,5,0,10,-1
79,Vandalism,2024-11-18 07:17:00,28.64338629141771,77.24174904255341,Train Station,Monday,Morning,Spring,Cloudy,0.8368753231294294,2,1,7,-1
80,Fraud,2024-09-21 06:34:00,28.546347623810053,77.21457474597916,Mall,Saturday,Morning,Fall,Snowy,0.8646177547341805,3,1,6,-1
81,Vandalism,2022-09-28 23:59:00,28.84524137035024,77.03744792100099,Commercial Hub,Wednesday,Evening,Summer,Clear,0.8452763201998224,5,1,23,-1
82,Drug Offense,2024-08-26 07:50:00,28.749319250731023,77.05308017677373,Mall,Monday,Morning,Summer,Snowy,0.5569809906790761,5,0,7,-1
83,Assault,2024-08-26 13:12:00,28.632359209941058,77.41873625980939,Downtown,Monday,Afternoon,Spring,Cloudy,0.8284466173273424,4,1,13,-1
84,Drug Offense,2022-07-13 03:42:00,28.525423340114408,77.1199099761033,Suburb B,Wednesday,Night,Winter,Clear,0.6399937747270487,5,0,3,-1
85,Fraud,2024-06-01 11:27:00,28.624392928686262,77.09747913574931,Train Station,Saturday,Morning,Fall,Foggy,0.5144006852846668,4,0,11,-1
86,Fraud,2024-04-21 14:55:00,28.6300733288107,77.25245572562507,Industrial Zone,Sunday,Afternoon,Winter,Snowy,0.707415335944477,2,0,14,-1
87,Homicide,2022-04-21 21:41:00,28.791842471335222,77.38437356568126,Suburb A,Thursday,Evening,Summer,Rainy,0.7167715514019005,3,0,21,-1
88,Theft,2022-07-21 01:25:00,28.755022988542084,77.0309732592895,Suburb B,Thursday,Night,Winter,Cloudy,0.7335870666762232,3,0,1,-1
89,Vandalism,2023-11-26 03:15:00,28.85488509703053,77.28840395981914,Train Station,Sunday,Night,Fall,Cloudy,0.8524120826953581,5,1,3,-1
90,Burglary,2023-01-28 06:34:00,28.68888597006477,77.05960522142028,Park,Saturday,Morning,Winter,Snowy,0.6544219045712296,5,0,6,-1
91,Burglary,2024-07-07 04:27:00,28.54783769837532,77.0182305254128,Mall,Sunday,Night,Summer,Foggy,0.6576402565519612,2,0,4,-1
92,Theft,2023-01-11 08:29:00,28.785297914889195,77.02637197608111,University Area,Wednesday,Morning,Fall,Foggy,0.5302761281206303,4,0,8,-1
93,Assault,2023-05-27 02:28:00,28.80431401944676,77.41708205410423,Mall,Saturday,Night,Winter,Rainy,0.843410607996148,3,1,2,-1
94,Theft,2022-07-20 01:41:00,28.7245108790278,77.05898624181403,Industrial Zone,Wednesday,Night,Winter,Rainy,0.783913045699792,4,1,1,-1
95,Assault,2022-01-31 02:59:00,28.808386871981824,77.02257568220615,Commercial Hub,Monday,Night,Fall,Snowy,0.6747125563468941,2,0,2,-1
96,Robbery,2023-04-30 05:26:00,28.697518238545754,77.21894994357146,Downtown,Sunday,Night,Summer,Clear,0.8525944894586773,3,1,5,-1
97,Vandalism,2024-09-21 15:13:00,28.7090931317528,77.421996735971,Mall,Saturday,Afternoon,Fall,Foggy,0.7686788746134385,3,1,15,-1
98,Vandalism,2024-04-01 01:10:00,28.67101640734342,77.13120418824465,Mall,Monday,Night,Summer,Clear,0.7346224729352698,1,0,1,-1
99,Fraud,2024-02-16 00:24:00,28.51016765069764,77.21085630876296,Mall,Friday,Night,Winter,Clear,0.7556622718305632,2,1,0,-1
100,Fraud,2023-06-28 14:18:00,28.54315657079732,77.01996126628188,Suburb B,Wednesday,Afternoon,Fall,Snowy,0.8181740626335283,2,1,14,-1
101,Fraud,2024-05-16 22:46:00,28.51257167427469,77.22453925706743,Park,Thursday,Evening,Summer,Rainy,0.8300013022872997,1,1,22,-1
102,Robbery,2024-09-23 04:12:00,28.75456416450551,77.28880654031856,Suburb B,Monday,Night,Fall,Clear,0.6444789095703586,4,0,4,-1
103,Fraud,2023-08-31 06:03:00,28.62574239243053,77.28545352687607,University Area,Thursday,Morning,Winter,Snowy,0.5703716816955766,1,0,6,-1
104,Burglary,2022-05-05 23:20:00,28.70342827646588,77.16621334608718,Commercial Hub,Thursday,Evening,Fall,Rainy,0.5783170905952594,2,0,23,-1
105,Homicide,2022-04-28 01:37:00,28.863026589570435,77.15776659033156,Park,Thursday,Night,Winter,Clear,0.8196954429515009,4,1,1,-1
106,Fraud,2024-09-03 16:58:00,28.59971689165955,77.0533118094683,Suburb B,Tuesday,Afternoon,Winter,Clear,0.936436642883563,3,1,16,-1
107,Robbery,2024-12-23 05:03:00,28.66415316921425,77.18339916032313,Downtown,Monday,Night,Winter,Rainy,0.7047481391727759,1,0,5,-1
108,Fraud,2024-11-06 02:54:00,28.802220455417217,77.04974733443649,Mall,Wednesday,Night,Summer,Rainy,0.5847600801647312,4,0,2,-1
109,Fraud,2023-01-16 02:38:00,28.59151926619665,77.38329797235603,Mall,Monday,Night,Summer,Cloudy,0.8783012491469273,4,1,2,-1
110,Assault,2022-05-20 21:55:00,28.53079196393152,77.48313714887409,Suburb B,Friday,Evening,Spring,Cloudy,0.9162447372097242,4,1,21,-1
111,Drug Offense,2023-04-27 12:07:00,28.61590058116551,77.48503722833335,Suburb A,Thursday,Afternoon,Summer,Snowy,0.9402912215604832,1,1,12,-1
112,Fraud,2023-05-20 18:38:00,28.5644885149016,77.4325355496877,Industrial Zone,Saturday,Evening,Spring,Snowy,0.8034157144568665,3,1,18,-1
113,Robbery,2022-03-23 19:05:00,28.87187906093703,77.3003960746698,Park,Wednesday,Evening,Fall,Foggy,0.9303642796940425,4,1,19,-1
114,Theft,2024-05-08 21:37:00,28.82324815182577,77.35043284862194,University Area,Wednesday,Evening,Winter,Cloudy,0.5077074792242038,1,0,21,-1
115,Fraud,2024-12-06 10:59:00,28.753361502604168,77.14260290134021,Downtown,Friday,Morning,Summer,Rainy,0.5536179008847617,2,0,10,-1
116,Fraud,2023-06-19 06:42:00,28.848584236075087,77.3153852100863,Park,Monday,Morning,Winter,Cloudy,0.5462880335260494,1,0,6,-1
117,Burglary,2023-10-06 07:16:00,28.821468830759645,77.22782477471993,Commercial Hub,Friday,Morning,Spring,Snowy,0.8563023421273666,1,1,7,-1
118,Drug Offense,2024-03-21 04:42:00,28.57462802355441,77.24100866988847,University Area,Thursday,Night,Summer,Snowy,0.5347908917717895,1,0,4,-1
119,Fraud,2023-09-07 14:20:00,28.85702359939599,77.37888828018758,Commercial Hub,Thursday,Afternoon,Summer,Snowy,0.7481821862331535,4,0,14,-1
120,Drug Offense,2022-05-29 00:29:00,28.71573689676626,77.14095917779862,Commercial Hub,Sunday,Night,Summer,Rainy,0.7363534493181445,1,0,0,-1
121,Assault,2022-07-24 02:34:00,28.822976062065624,77.15901980584727,Suburb B,Sunday,Night,Summer,Clear,0.6553517617791205,2,0,2,-1
122,Vandalism,2023-03-13 16:16:00,28.858436519969395,77.46232089556432,Industrial Zone,Monday,Afternoon,Winter,Snowy,0.93520258497105,4,1,16,-1
123,Drug Offense,2022-09-29 11:56:00,28.627201389988745,77.02811214742549,Commercial Hub,Thursday,Morning,Summer,Cloudy,0.5852166009399979,2,0,11,-1
124,Drug Offense,2022-05-21 07:23:00,28.54402076981107,77.24281714920667,Suburb A,Saturday,Morning,Spring,Clear,0.6762313921996199,5,0,7,-1
125,Fraud,2023-08-07 05:28:00,28.591174065016776,77.45640040020393,University Area,Monday,Night,Summer,Cloudy,0.8870857500114646,1,1,5,-1
126,Homicide,2023-09-12 19:51:00,28.670843115450506,77.30518150390908,Suburb A,Tuesday,Evening,Spring,Snowy,0.5152111571966421,4,0,19,-1
127,Fraud,2024-12-19 00:42:00,28.827205906368995,77.27320353710607,Industrial Zone,Thursday,Night,Spring,Rainy,0.8364752001231843,4,1,0,-1
128,Fraud,2023-09-06 21:06:00,28.844292233302536,77.12487208961468,Downtown,Wednesday,Evening,Winter,Clear,0.9081988631807854,1,1,21,-1
129,Burglary,2022-10-03 08:07:00,28.50278085221248,77.17163774453222,Industrial Zone,Monday,Morning,Summer,Clear,0.9661339194190836,3,1,8,-1
130,Homicide,2022-08-08 23:35:00,28.704298921031025,77.42602420790234,Train Station,Monday,Evening,Spring,Snowy,0.9381483202457424,3,1,23,-1
131,Vandalism,2022-11-15 08:18:00,28.66696440125951,77.27960906588423,Park,Tuesday,Morning,Summer,Snowy,0.6596920584168426,2,0,8,-1
132,Burglary,2023-03-08 22:21:00,28.58884312418829,77.25737109687839,Suburb A,Wednesday,Evening,Winter,Snowy,0.7931820706614763,1,1,22,-1
133,Robbery,2023-02-21 21:40:00,28.54794614693348,77.04978985677002,Suburb B,Tuesday,Evening,Winter,Foggy,0.5386467465752329,1,0,21,-1
134,Burglary,2023-06-25 16:31:00,28.63504606856145,77.00801407822756,Downtown,Sunday,Afternoon,Summer,Rainy,0.6289350017740043,5,0,16,-1
135,Burglary,2023-05-30 01:05:00,28.877163881565007,77.48184259434352,Train Station,Tuesday,Night,Spring,Rainy,0.5471111893737537,3,0,1,-1
136,Homicide,2024-05-17 08:02:00,28.6292811728083,77.18849308364342,Industrial Zone,Friday,Morning,Fall,Snowy,0.6575936450769819,3,0,8,-1
137,Assault,2022-01-08 10:49:00,28.707516248697345,77.30160653104976,Park,Saturday,Morning,Fall,Foggy,0.9375936067293644,1,1,10,-1
138,Vandalism,2022-09-25 20:16:00,28.78120758355807,77.03985753659364,Commercial Hub,Sunday,Evening,Winter,Snowy,0.6735834198371463,2,0,20,-1
139,Assault,2022-11-27 23:28:00,28.64545184095172,77.34155714286152,Mall,Sunday,Evening,Spring,Snowy,0.7809490515007131,1,1,23,-1
140,Assault,2024-05-25 17:00:00,28.888712833088384,77.46628335435298,University Area,Saturday,Afternoon,Fall,Rainy,0.7166904240574704,2,0,17,-1
141,Vandalism,2022-08-18 02:56:00,28.88497891797684,77.28783262649871,Suburb A,Thursday,Night,Spring,Foggy,0.7294582621493677,3,0,2,-1
142,Assault,2022-11-02 17:02:00,28.600712918330142,77.0630576611877,Downtown,Wednesday,Afternoon,Summer,Rainy,0.9847860259182792,5,1,17,-1
143,Homicide,2024-01-27 18:35:00,28.69889940235696,77.29086076373675,Downtown,Saturday,Evening,Winter,Snowy,0.648077234131929,4,0,18,-1
144,Vandalism,2022-10-31 13:08:00,28.62035132392671,77.38317360655233,Mall,Monday,Afternoon,Summer,Cloudy,0.8136622347615856,3,1,13,-1
145,Drug Offense,2022-03-27 09:23:00,28.613936197750988,77.20320826828701,Downtown,Sunday,Morning,Summer,Clear,0.7100313347897236,2,0,9,-1
146,Robbery,2022-03-23 11:13:00,28.51475477894181,77.43991887397074,Suburb B,Wednesday,Morning,Summer,Snowy,0.530573090523843,1,0,11,-1
147,Drug Offense,2023-05-27 21:06:00,28.74382573359196,77.32434147667868,Suburb A,Saturday,Evening,Spring,Foggy,0.744665415812118,3,0,21,-1
148,Fraud,2023-12-26 17:56:00,28.701071609291542,77.4496244591446,Industrial Zone,Tuesday,Afternoon,Fall,Cloudy,0.906671664522554,5,1,17,-1
149,Burglary,2024-04-12 19:47:00,28.5205915005,77.31175265562366,Downtown,Friday,Evening,Summer,Foggy,0.5493764843408442,2,0,19,-1
150,Robbery,2022-11-13 07:55:00,28.61145858569465,77.06564398600241,Downtown,Sunday,Morning,Winter,Snowy,0.5347959236981545,1,0,7,-1
151,Drug Offense,2022-11-29 05:56:00,28.863306354386665,77.1548458555526,Industrial Zone,Tuesday,Night,Spring,Snowy,0.5768157601966333,4,0,5,-1
152,Drug Offense,2024-04-24 00:11:00,28.59582475626679,77.10089747412623,Industrial Zone,Wednesday,Night,Fall,Clear,0.882200055694653,2,1,0,-1
153,Assault,2023-11-12 13:51:00,28.55795794883649,77.45441324885843,Train Station,Sunday,Afternoon,Summer,Foggy,0.861997692072369,1,1,13,-1
154,Vandalism,2023-05-24 08:10:00,28.695781104111024,77.38020003364375,Park,Wednesday,Morning,Winter,Cloudy,0.7825088844530552,4,1,8,-1
155,Theft,2022-08-10 12:55:00,28.89426018164424,77.33819918445501,Park,Wednesday,Afternoon,Summer,Clear,0.7341132020463161,1,0,12,-1
156,Assault,2022-03-21 15:14:00,28.5968221086046,77.1504831598158,Park,Monday,Afternoon,Fall,Foggy,0.944162907351311,4,1,15,-1
157,Assault,2023-02-13 14:22:00,28.76885421896235,77.0920223860251,Mall,Monday,Afternoon,Fall,Snowy,0.8833489119167413,4,1,14,-1
158,Homicide,2023-09-18 07:14:00,28.804647846131488,77.37822554399446,Downtown,Monday,Morning,Summer,Clear,0.9059711256509028,4,1,7,-1
159,Vandalism,2022-02-18 21:12:00,28.59505501759696,77.23707897293954,Mall,Friday,Evening,Summer,Snowy,0.9066311506753272,1,1,21,-1
160,Theft,2024-03-27 10:17:00,28.791286539444744,77.11289477607531,Park,Wednesday,Morning,Spring,Rainy,0.821358577372779,4,1,10,-1
161,Theft,2022-05-23 08:22:00,28.6471132530877,77.30831098908264,Downtown,Monday,Morning,Fall,Rainy,0.729007312157973,2,0,8,-1
162,Fraud,2024-11-09 12:43:00,28.752922332237432,77.02016692606922,Train Station,Saturday,Afternoon,Fall,Clear,0.9323388762928252,5,1,12,-1
163,Assault,2023-11-10 00:07:00,28.75341188430436,77.16308512706412,Mall,Friday,Night,Summer,Clear,0.9630037088016252,5,1,0,17
164,Homicide,2023-06-19 05:37:00,28.7143098736299,77.23427849729556,Industrial Zone,Monday,Night,Winter,Foggy,0.5119030216291716,4,0,5,-1
165,Burglary,2023-06-28 01:06:00,28.536115908021763,77.0739791670547,Mall,Wednesday,Night,Summer,Cloudy,0.5257774366331256,5,0,1,-1
166,Drug Offense,2024-06-08 11:46:00,28.834120998235694,77.49232723879543,Downtown,Saturday,Morning,Summer,Cloudy,0.9793716484542186,5,1,11,-1
167,Assault,2023-10-05 13:38:00,28.62831202598869,77.1045486822948,Mall,Thursday,Afternoon,Fall,Rainy,0.6385803069220974,4,0,13,-1
168,Burglary,2024-11-13 03:24:00,28.57460740415994,77.06517656502163,University Area,Wednesday,Night,Spring,Rainy,0.9366847198247094,4,1,3,7
169,Robbery,2023-01-25 08:02:00,28.516310056621904,77.10176743694345,Industrial Zone,Wednesday,Morning,Summer,Rainy,0.6943975594807013,2,0,8,0
170,Burglary,2024-06-12 00:33:00,28.73635717727529,77.38453056657987,Commercial Hub,Wednesday,Night,Winter,Snowy,0.5595500288046777,3,0,0,-1
171,Robbery,2023-02-08 11:27:00,28.77102574473691,77.21275282963592,Train Station,Wednesday,Morning,Winter,Cloudy,0.5402216001046671,1,0,11,29
172,Robbery,2022-05-24 21:58:00,28.50663513157114,77.28270796987627,Industrial Zone,Tuesday,Evening,Summer,Clear,0.5782539495402282,4,0,21,-1
173,Vandalism,2023-11-08 19:20:00,28.70483722331971,77.01050457849318,Park,Wednesday,Evening,Winter,Rainy,0.6249465974336823,4,0,19,-1
174,Assault,2022-09-13 23:57:00,28.590598310079177,77.01721565428666,Suburb B,Tuesday,Evening,Winter,Foggy,0.7442591769654131,5,0,23,-1
175,Vandalism,2023-09-08 16:19:00,28.75806911616377,77.22291277491351,Suburb A,Friday,Afternoon,Summer,Clear,0.8507489502828918,2,1,16,-1
176,Fraud,2024-04-16 10:25:00,28.569746571602,77.40832762160082,Downtown,Tuesday,Morning,Winter,Clear,0.99319928824265,5,1,10,-1
177,Burglary,2023-08-29 17:08:00,28.776375095240983,77.44261943935378,University Area,Tuesday,Afternoon,Winter,Clear,0.7207533716445855,4,0,17,-1
178,Theft,2023-01-28 13:42:00,28.654694138520213,77.04335328379781,Suburb A,Saturday,Afternoon,Summer,Cloudy,0.759092471171555,4,1,13,-1
